,CARD,DECK,BALLOT,S126.Q1,S126.Q2,S126.Q3.x,S126.Q5,S126.Q6,S126.Q7,S126.Q8,S126.Q9,S126.Q10,S126.Q11,S126.Q12,S126.Q13,S126.Q14,S126.Q15,S126.Q16,S126.Q17,S126.Q18,S126.Q19,S126.Q20,S126.Q21,S126.Q22,S126.Q23,S126.Q24,S126.Q25,S126.Q26,S126.Q27,S126.Q28,S126.Q29,S126.Q30,S126.Q31,S126.Q32A,S126.Q32B,S126.Q32C,S126.Q32D,S126.Q32E,S126.Q32F,S126.V32G,S126.Q33,S126.Q34,S126.Q35,S126.Q36,S126.Q37,S126.Q38,S126.Q39,S126.Q40,S126.Q41,S126.Q42,S126.Q43,S126.Q44,S126.Q45,S126.Q46,S126.Q47,S126.Q48,S126.Q49,S126.Q50,S126.Q51,S126.Q52,S126.Q53,S126.Q54,S126.Q55,S126.Q56,S126.Q57,S126.Q58,S126.Q59,S126.Q60,S126.Q61,S126.Q62,S126.Q63,S126.Q64,S126.Q65,S126.Q66,S126.Q67,CARD..1,DECK..1,BALLOT..1,S126.Q68,S126.Q69,S126.Q70,S126.Q71,S126.Q72,S126.Q73,S126.Q74A,S126.Q74B,S126.Q74C,S126.Q74D,S126.Q74E,S126.V74F,S126.V74G,S126.Q75,S126.Q76,S126.Q77,S126.Q78,S126.Q79,S126.Q80A,S126.Q80B,S126.Q81,S126.Q82,S126.Q83,S126.Q84,S126.Q85,S126.Q86,S126.Q87,S126.Q88,S126.Q89,S126.Q90A,S126.Q90B,S126.Q91,S126.Q92,S126.Q93.n,S126.Q94,S126.Q95,S126.Q96.n,S126.Q97,S126.V98,S126.V99,S126.V100
703,1.0,126.0,389.0,2.0,2.0,1.0,5.0,3.0,4.0,1.0,4.0,5.0,4.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,126.0,389.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,6.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,6.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,3.0,4.0,,3.0,1.0,7.0,66.0
704,1.0,126.0,390.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,4.0,6.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,2.0,126.0,390.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,22.0,2.0,1.0,2.0,6.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,7.0,0.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,1.0,126.0,391.0,2.0,2.0,1.0,4.0,5.0,4.0,1.0,4.0,6.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,7.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,126.0,391.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,6.0,4.0,2.0,3.0,1.0,2.0,5.0,5.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,,1.0,1.0,7.0,71.0
707,1.0,126.0,392.0,2.0,3.0,1.0,4.0,1.0,5.0,1.0,4.0,6.0,4.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,2.0,126.0,392.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,11.0,1.0,1.0,5.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,6.0,3.0,3.0,3.0,3.0,6.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,7.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,1.0,126.0,393.0,3.0,3.0,1.0,2.0,5.0,5.0,1.0,4.0,6.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,0.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,2.0,126.0,393.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,32.0,2.0,2.0,8.0,6.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,7.0,0.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,1.0,126.0,394.0,3.0,2.0,4.0,5.0,1.0,5.0,1.0,4.0,5.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,7.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,2.0,126.0,394.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,33.0,3.0,2.0,8.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,7.0,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,1.0,126.0,395.0,3.0,2.0,1.0,3.0,3.0,5.0,1.0,4.0,8.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,2.0,126.0,395.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,32.0,2.0,3.0,1.0,6.0,8.0,3.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,4.0,0.0,2.0,1.0,7.0,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,1.0,126.0,396.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,6.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,2.0,126.0,396.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,31.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,7.0,0.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,1.0,126.0,397.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,5.0,1.0,3.0,7.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,2.0,126.0,397.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,1.0,126.0,398.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,4.0,6.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,2.0,126.0,398.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,33.0,2.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,0.0,3.0,1.0,7.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,1.0,126.0,399.0,4.0,1.0,0.0,1.0,1.0,4.0,1.0,4.0,6.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,2.0,126.0,399.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,33.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,5.0,1.0,7.0,0.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,1.0,126.0,400.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,4.0,6.0,0.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,2.0,126.0,400.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,22.0,3.0,3.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,7.0,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,1.0,126.0,401.0,2.0,2.0,5.0,1.0,0.0,5.0,1.0,4.0,6.0,4.0,0.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,126.0,401.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,8.0,6.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,,2.0,2.0,,5.0,1.0,7.0,28.0
726,1.0,126.0,402.0,3.0,3.0,1.0,4.0,2.0,5.0,1.0,4.0,5.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,2.0,126.0,402.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,32.0,2.0,2.0,8.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,1.0,126.0,403.0,3.0,2.0,1.0,4.0,2.0,5.0,1.0,4.0,6.0,4.0,2.0,7.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,2.0,126.0,403.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,33.0,2.0,3.0,8.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,6.0,5.0,5.0,3.0,3.0,6.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,7.0,0.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,1.0,126.0,404.0,3.0,2.0,1.0,5.0,2.0,5.0,1.0,4.0,6.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,9.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,2.0,126.0,404.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,11.0,1.0,1.0,7.0,6.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,6.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,0.0,9.0,1.0,7.0,0.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,1.0,126.0,405.0,3.0,2.0,1.0,5.0,5.0,5.0,1.0,4.0,6.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,2.0,126.0,405.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,22.0,3.0,2.0,8.0,6.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,7.0,1.0,7.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,1.0,126.0,406.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,4.0,6.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,9.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,2.0,126.0,406.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,8.0,5.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,7.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,1.0,126.0,407.0,4.0,2.0,1.0,5.0,1.0,4.0,1.0,4.0,6.0,1.0,0.0,7.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,2.0,126.0,407.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,21.0,1.0,2.0,6.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,7.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,1.0,126.0,408.0,3.0,2.0,1.0,4.0,1.0,5.0,0.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,7.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,2.0,126.0,408.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,32.0,2.0,2.0,8.0,6.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,6.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,7.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,1.0,126.0,409.0,2.0,3.0,1.0,5.0,2.0,5.0,1.0,2.0,6.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,9.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,126.0,409.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,,12.0,1.0,7.0,29.0
741,1.0,126.0,410.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,126.0,410.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,8.0,6.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,2.0,6.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,,1.0,2.0,,1.0,1.0,7.0,27.0
742,1.0,126.0,411.0,2.0,2.0,1.0,5.0,0.0,4.0,1.0,2.0,5.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,2.0,126.0,411.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,23.0,2.0,2.0,1.0,6.0,4.0,2.0,2.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,7.0,0.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
