,CARD,DECK,BALLOT,S235.Q1,S235.Q2,S235.Q3,S235.Q4,S235.Q5A,S235.Q5B,S235.Q6,S235.Q7,S235.Q8,S235.Q9.x,S235.Q11,S235.Q12,S235.Q13,S235.Q14A,S235.Q14B.n,S235.Q15,S235.Q16,S235.Q17,S235.Q18,S235.Q19,S235.Q20,S235.Q21,S235.Q22,S235.Q23,S235.Q24,S235.Q25,S235.Q26,S235.Q27,S235.Q28,S235.Q29A,S235.Q29B.n,S235.Q30A,S235.Q30B.n,S235.Q31,S235.Q32A,S235.Q32B.n,S235.Q33,S235.Q34A,S235.Q34B,S235.Q34C,S235.Q34D,S235.Q34E,S235.Q35,S235.Q36,S235.Q37A,S235.Q37B,S235.Q37C,S235.Q37D,S235.Q37E,S235.Q37F,S235.Q37G,S235.Q37H,S235.Q37I,S235.Q38,S235.Q39,S235.Q40,S235.Q41,S235.Q42,S235.Q43,S235.Q44,S235.Q45,S235.Q46,S235.Q47A,S235.Q47B.1,S235.Q47B.2,S235.Q47B.3,S235.Q47B.4,S235.Q47B.5,CARD..1,DECK..1,BALLOT..1,S235.Q47B.6,S235.Q47B.7,S235.Q47B.8,S235.Q48A,S235.Q48B,S235.Q48C,S235.Q49A,S235.Q49B,S235.Q49C,S235.Q50A,S235.Q50B,S235.Q51,S235.Q52,S235.Q53,S235.Q54A,S235.Q54B,S235.Q54C,S235.Q55,S235.Q56,S235.Q57A,S235.Q57B,S235.Q57C,S235.Q57D,S235.Q57E,S235.Q57F,S235.Q57G,S235.Q58,S235.Q59,S235.Q60A,S235.Q60B,S235.Q60C,S235.Q61,S235.Q62,S235.Q63.n,S235.Q64.n,S235.Q65A,S235.Q65B.n,S235.Q66A,S235.Q66B,S235.Q66C,S235.Q66D,S235.Q67,S235.Q68,S235.Q69,S235.Q70A,S235.Q70B,S235.Q71.n,S235.Q72,S235.Q73.n,S235.Q74A,S235.Q74B,S235.Q74C,S235.Q74D,S235.Q74E,S235.Q75,S235.Q76,S235.Q77,S235.Q78,S235.Q79,S235.Q80,S235.Q81,S235.Q82,S235.Q83,S235.Q84,S235.Q85,S235.Q86,S235.Q87,S235.Q88,S235.Q89,S235.Q90,S235.Q91A.1,S235.Q91A.2,CARD..2,DECK..2,BALLOT..2,S235.Q91A.3,S235.Q91A.4,S235.Q91A.5,S235.Q91A.6,S235.Q91A.7,S235.Q91A.8,S235.Q91A.9,S235.Q91B.1,S235.Q91B.2,S235.Q91B.3,S235.Q91B.4,S235.Q91B.5,S235.Q91B.6,S235.Q91B.7,S235.Q91B.8,S235.Q91B.9,S235.Q91C.1,S235.Q91C.2,S235.Q91C.3,S235.Q91C.4,S235.Q91C.5,S235.Q91C.6,S235.Q91C.7,S235.Q91C.8,S235.Q91C.9,S235.V92
1049,1.0,235.0,1050.0,5.0,3.0,2.0,10.0,9.0,9.0,1.0,5.0,3.0,1.0,3.0,5.0,3.0,1.0,,2.0,1.0,2.0,3.0,2.0,3.0,2.0,9.0,3.0,2.0,5.0,4.0,1.0,1.0,4.0,,2.0,,5.0,2.0,,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1050.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,10.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,11.0,11.0,1.0,2.0,,,3.0,,2.0,0.0,0.0,3.0,4.0,2.0,1.0,1.0,1.0,,2.0,,3.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,235.0,1050.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,524.0
1050,1.0,235.0,1051.0,5.0,3.0,2.0,10.0,9.0,9.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,3.0,3.0,5.0,6.0,1.0,1.0,4.0,,1.0,,2.0,2.0,,4.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1051.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,12.0,0.0,1.0,3.0,,,3.0,,2.0,3.0,3.0,0.0,2.0,2.0,2.0,1.0,3.0,,1.0,,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,235.0,1051.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1052.0
1051,1.0,235.0,1052.0,6.0,4.0,2.0,10.0,9.0,9.0,1.0,5.0,4.0,5.0,4.0,1.0,3.0,1.0,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,7.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,,2.0,,8.0,2.0,,8.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1052.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,11.0,11.0,5.0,4.0,1.0,6.0,6.0,5.0,0.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,4.0,11.0,11.0,6.0,3.0,,,1.0,,2.0,0.0,0.0,5.0,3.0,1.0,1.0,2.0,2.0,,4.0,,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,5.0,5.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,235.0,1052.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2370.0
1052,1.0,235.0,1053.0,6.0,3.0,2.0,10.0,9.0,9.0,1.0,4.0,3.0,1.0,4.0,1.0,5.0,3.0,,1.0,1.0,3.0,1.0,2.0,1.0,2.0,7.0,3.0,4.0,5.0,7.0,1.0,1.0,4.0,,1.0,,2.0,2.0,,9.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,235.0,1053.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,11.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,11.0,11.0,6.0,3.0,,,1.0,,2.0,3.0,3.0,5.0,2.0,2.0,4.0,1.0,3.0,,1.0,,1.0,1.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,235.0,1053.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,917.0
1053,1.0,235.0,1054.0,6.0,4.0,3.0,10.0,9.0,9.0,1.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,,2.0,1.0,3.0,2.0,2.0,1.0,2.0,7.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,,1.0,,8.0,2.0,,0.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1054.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,11.0,11.0,5.0,2.0,3.0,2.0,6.0,5.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,11.0,11.0,6.0,4.0,,,2.0,,2.0,0.0,3.0,5.0,3.0,2.0,4.0,2.0,1.0,,4.0,,2.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,4.0,5.0,1.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,235.0,1054.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2333.0
1054,1.0,235.0,1055.0,6.0,4.0,2.0,10.0,9.0,9.0,1.0,5.0,6.0,1.0,3.0,1.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,,2.0,,8.0,3.0,,9.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1055.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,11.0,11.0,3.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,11.0,11.0,6.0,4.0,,,3.0,,2.0,0.0,3.0,5.0,3.0,2.0,5.0,2.0,4.0,,4.0,,2.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,235.0,1055.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2378.0
1055,1.0,235.0,1056.0,6.0,4.0,2.0,10.0,9.0,9.0,2.0,3.0,4.0,1.0,2.0,5.0,3.0,2.0,,2.0,2.0,3.0,2.0,2.0,4.0,3.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,,3.0,,8.0,3.0,,9.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1056.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,0.0,2.0,2.0,1.0,6.0,6.0,4.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,5.0,12.0,0.0,6.0,4.0,,,3.0,,0.0,3.0,3.0,0.0,2.0,1.0,1.0,4.0,0.0,,0.0,,3.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,235.0,1056.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2369.0
1056,1.0,235.0,1057.0,6.0,4.0,2.0,10.0,9.0,9.0,3.0,5.0,3.0,1.0,2.0,3.0,3.0,1.0,,2.0,1.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,,1.0,,9.0,4.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1057.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,5.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,11.0,11.0,6.0,4.0,,,3.0,,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,,1.0,,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,235.0,1057.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,530.0
1057,1.0,235.0,1058.0,6.0,4.0,3.0,10.0,9.0,9.0,2.0,5.0,9.0,5.0,3.0,5.0,2.0,1.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,,2.0,,9.0,3.0,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1058.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,11.0,11.0,6.0,3.0,,,3.0,,2.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0,,1.0,,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,235.0,1058.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1853.0
1058,1.0,235.0,1059.0,6.0,5.0,2.0,10.0,9.0,9.0,1.0,5.0,5.0,1.0,4.0,5.0,3.0,3.0,,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,,1.0,,9.0,2.0,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1059.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,11.0,0.0,3.0,4.0,2.0,2.0,6.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,12.0,0.0,6.0,2.0,,,3.0,,2.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,3.0,,1.0,,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,235.0,1059.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1053.0
1059,1.0,235.0,1060.0,6.0,4.0,2.0,10.0,9.0,9.0,2.0,5.0,8.0,1.0,4.0,5.0,2.0,2.0,,1.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,2.0,,6.0,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1060.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,10.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,11.0,11.0,6.0,2.0,,,1.0,,2.0,0.0,0.0,5.0,2.0,1.0,4.0,1.0,3.0,,1.0,,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,235.0,1060.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,910.0
1060,1.0,235.0,1061.0,5.0,4.0,3.0,10.0,9.0,9.0,1.0,4.0,10.0,4.0,2.0,1.0,4.0,2.0,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,,3.0,,8.0,3.0,,8.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1061.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,11.0,0.0,3.0,2.0,1.0,6.0,6.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,11.0,11.0,6.0,2.0,,,3.0,,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,3.0,,4.0,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,235.0,1061.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1452.0
1061,1.0,235.0,1062.0,6.0,4.0,2.0,10.0,9.0,9.0,3.0,4.0,11.0,2.0,5.0,5.0,3.0,1.0,,1.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,,2.0,,8.0,2.0,,2.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1062.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,11.0,1.0,1.0,1.0,6.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,4.0,11.0,11.0,6.0,4.0,,,3.0,,0.0,3.0,3.0,5.0,2.0,2.0,1.0,2.0,0.0,,1.0,,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,235.0,1062.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2627.0
1062,1.0,235.0,1063.0,6.0,4.0,3.0,10.0,9.0,9.0,2.0,5.0,11.0,4.0,2.0,5.0,4.0,2.0,,2.0,2.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,,2.0,,9.0,0.0,,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1063.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,11.0,0.0,3.0,3.0,3.0,6.0,6.0,5.0,0.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,11.0,11.0,1.0,3.0,,,3.0,,2.0,3.0,3.0,5.0,4.0,1.0,5.0,1.0,4.0,,4.0,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,235.0,1063.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2534.0
1063,1.0,235.0,1064.0,7.0,4.0,2.0,10.0,9.0,9.0,2.0,5.0,7.0,1.0,5.0,5.0,3.0,1.0,,2.0,2.0,2.0,1.0,2.0,4.0,3.0,7.0,3.0,4.0,2.0,4.0,1.0,1.0,4.0,,2.0,,6.0,1.0,,3.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1064.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,2.0,5.0,12.0,0.0,6.0,3.0,,,0.0,,0.0,3.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,,1.0,,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,235.0,1064.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,915.0
1064,1.0,235.0,1065.0,6.0,4.0,2.0,10.0,9.0,9.0,2.0,5.0,7.0,7.0,4.0,5.0,1.0,1.0,,2.0,1.0,2.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,,2.0,,9.0,4.0,,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,235.0,1065.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,8.0,2.0,2.0,1.0,4.0,2.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,12.0,0.0,1.0,4.0,,,3.0,,0.0,3.0,3.0,5.0,2.0,3.0,5.0,1.0,3.0,,1.0,,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,235.0,1065.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1880.0
1065,1.0,235.0,1066.0,6.0,4.0,3.0,10.0,9.0,9.0,1.0,5.0,8.0,5.0,4.0,2.0,3.0,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7.0,3.0,2.0,2.0,4.0,0.0,1.0,4.0,,1.0,,8.0,2.0,,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1066.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,11.0,1.0,1.0,1.0,6.0,6.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,11.0,11.0,6.0,4.0,,,1.0,,2.0,0.0,3.0,5.0,2.0,1.0,4.0,1.0,3.0,,1.0,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,235.0,1066.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2356.0
1066,1.0,235.0,1067.0,8.0,4.0,3.0,10.0,9.0,9.0,3.0,5.0,7.0,5.0,4.0,5.0,1.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,,1.0,,9.0,2.0,,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,235.0,1067.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,11.0,4.0,2.0,2.0,3.0,6.0,6.0,4.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,11.0,11.0,6.0,4.0,,,3.0,,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,,1.0,,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,235.0,1067.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1814.0
